Sentence,Sentiment,Emotion,Hate-Speech,Sarcasm
"సింధుతో పాటు సైనా నెహ్వాల్‌, ప్రముఖ రెజ్లర్‌ గీతా ఫొగాట్‌ కూడా ర్యాంప్‌ వాక్‌ చేసి ఆకట్టుకున్నారు.",pos,happy,no,no
క్వార్టర్స్‌లో భారత షట్లర్లు.,neg,sad,no,no
"సింధు తొలి గేమ్‌ను పోరాడి గెలవగా, రెండో గేమ్‌ను అవలీలగా సొంతం చేసుకుంది.",pos,happy,no,no
"పురుషుల సింగిల్స్‌ ప్రిక్వార్టర్‌ పోరులో ఎనిమిదో సీడ్‌ శ్రీకాంత్‌ 21-14, 21-9 తేడాతో కెంటో నిషిమోటో (జపాన్‌)పై విజయం సాధించాడు.",pos,happy,no,no
తొలి గేమ్‌ను 21-14తో గెలిచిన శ్రీకాంత్‌.,pos,happy,no,no
"పురుషుల డబుల్స్‌లో మను అత్రి-సుమీత్‌ రెడ్డి జోడీ 5వ సీడ్‌ డెన్మార్క్‌ జోడీ కిమ్‌ అస్ట్రప్‌-రస్ముసేన్‌ చేతిలో 21-14, 17-21, 21-10 తేడాతో పోరాడి ఓడి టోర్నీ నుంచి నిష్క్రమించారు.",neg,sad,no,no
"టోర్నీ మూడో రోజు జరిగిన మ్యాచ్‌లో సింధు, శ్రీకాంత్‌ ముందంజ వేయగా మిక్సిడ్‌ డబుల్స్‌లో భారత కథ ముగిసింది.",neg,sad,no,no
"సాత్విక్‌ సారు రాజ-అశ్విని పొన్నప్ప, ప్రణవ్‌ చోప్రా-సిక్కిరెడ్డి జోడీలు ఇంటి ముఖం పట్టారు.",neg,sad,no,no
పురుషులు సింగిల్స్‌లో శ్రీకాంత్‌ థాయిలాండ్‌కు చెందిన సుప్పన్యూ అవిహింగ్‌సనాన్‌పై పోరాడి విజయం సాధించాడు.,pos,happy,no,no
ఇక మిక్సిడ్‌ డబుల్స్‌ తొలి రౌండ్‌లో కామన్‌వెల్త్‌ సిల్వర్‌ మెడలిస్ట్‌లకు షాకిచ్చిన సాత్విక్‌ సారురాజ్‌-పొన్నప్ప జోడీ క్వార్టర్స్‌లో అడుగు పెట్టలేక పోయారు.,neg,sad,no,no
"చైనాకు చెందిన మొదటి సీడ్‌ జెంగ్‌ సివే-హువాంగ్‌ యక్వింగ్‌ చేతిలో 21-14, 21-11 తేడాతో ఓడగా మరో మిక్సిడ్‌ డబుల్స్‌ జోడీ ప్రణావ్‌ చోప్రా-సిక్కి రెడ్డి జోడీ డానిష్‌ జంట చేతిలో 21-16, 21-10 తేడాతో ఓడారు.",neg,sad,no,no
కానీ ప్రపంచ కప్‌లో అడుగుపెట్టే సరికి వీరి కథే వేరు.,neg,sad,no,no
"అవలీలగా గ్రూపు దశ దాటేసి టైటిల్‌కు చేరువగా వచ్చేసరికి, అప్పుడే అదృష్టం అనే విలన్‌ వీరికి అడ్డుగా వస్తుంది.",neg,sad,no,yes
"వాన వీరి ఆశలపై నీళ్లు చల్లినా ఒక్క పరుగు వీరి విజయావకాశాలను చిదిమేసినా ఒకటి కాదు, రెండు కాదు ఎన్నోసార్లు వీరి బాధ ప్రపంచ క్రికెట్‌ అభిమానుల బాధగా మారింది.",neg,sad,no,no
ఎందరో సఫారీ దిగ్గజాలకు ప్రపంచకప్‌ ఓ కలగానే మిగిలి పోయింది.,neg,sad,no,no
ఇది బౌలర్ల విజయం : రోహిత్‌.,pos,happy,no,no
దుబారు: ఆసియా కప్‌లో ఫేవరెట్‌గా బరిలోకి దిగిన పాకిస్థాన్‌ను భారత్‌ చిత్తుగా ఓడించిన విషయం తెలిసిందే.,neg,sad,no,no
బుధవారం జరిగిన ఈ మ్యాచ్‌లో టీమిండియా అన్ని విభాగాల్లో సమష్టిగా సత్తా చాటింది.,pos,happy,no,no
162పరుగుల స్వల్ప లక్ష్యాన్ని 29 ఓవర్లలోనే చేధించి 8 వికెట్ల తేడాతో ఘన విజయం సాధించింది.,pos,happy,no,no
అయితే ఈ ఘన విజయానికి బౌలర్లే కారకులని టీమిండియా కెప్టెన్‌ రోహిత్‌ శర్మ ప్రశంసలతో ముంచెత్తాడు.,pos,happy,no,no
వారి బౌలింగ్‌ అద్భుతం.,pos,happy,no,no
మాకు ఇక్కడి పరిస్థితులు అనుకూలంగా లేవు.,neg,sad,no,no
అయినా బౌలర్లు వాటిని వారి వైపు మళ్లించుకోవడంలో సఫలం అయ్యారు.,pos,happy,no,no
ఈ విజయం వారిదే.,pos,happy,no,no
"అంబటి రాయుడు, దినేశ్‌ కార్తీక్‌ మ్యాచ్‌ను చాలా బాగా ముగించారు’ అని అన్నాడు.",pos,happy,no,no
శ్రీలంక క్రికెటర్‌పై నిషేధం.,neg,sad,no,no
"దుబారు : కొంతకాలంగా శ్రీలంక మాజీ క్రికెటర్లు వివాదాలను, అవినీతి ఆరోపణలు ఎదుర్కొంటున్నారు.",neg,sad,yes,no
మాజీ ఓపెనర్‌ సనత్‌ జయసూర్య సైతం సస్పెన్షన్‌ను ఎదుర్కొంటున్న విషయం తెలిసిందే.,neg,sad,no,no
అయితే తాజాగా శ్రీలంక ఫాస్ట్‌ బౌలర్‌ దిల్హారా లొకుహెట్టుగేపై ఐసీసీ వేటు వేసింది.,neg,sad,no,no
తొలిసారి అలెన్‌ బోర్డర్‌ నాయకత్వంలో 1987 ప్రంపచకప్‌ గెలిచిన అనంతరం రెండు దశాబ్దాలపైగా విశ్వ క్రికెట్‌ను ఆస్ట్రేలియా శాసించింది.,pos,happy,no,no
ఈ సమష్టి తత్వమే వారిని ఐదుసార్లు విశ్వ విజేతను చేసింది.,pos,happy,no,no
బోర్డర్‌ నుంచి క్లార్క్‌ వరకూ ఆసీస్‌ విజయ యాత్ర ఇలా.,pos,happy,no,no
అక్తర్‌తో ఇబ్బంది పడ్డా : సెహ్వాగ్‌.,neg,sad,no,no
అలాగే ఎటువంటి జంకు లేకుండా బంతులను బౌండరీలకు పంపించే హార్డ్‌ హిట్టర్లు.,pos,happy,no,no
భారత మాజీ ఓపెనర్‌ సెహ్వాగ్‌ మాట్లాడుతూ ‘నా కెరీర్‌లో ఎంతో మంది ఉత్తమ బౌలర్లను ఎదుర్కొన్నా కానీ అందరీ కంటే ఒక్క బౌలర్ని ఎదుర్కోడానికి ఇబ్భంది పడ్డా… అతడు పాకిస్థాన్‌ ఫాస్ట్‌ బౌలర్‌ షోయబ్‌ అక్తర్‌.,neg,sad,no,no
అతడు వేసే బంతులు అర్ధం చేసుకోవడం కష్టం.,neg,sad,no,no
"ఏ బంతులు కాలికి తగులుతాయో, ఏ బంతులు తలకు తాకుతాయో ఊహించలేం.",neg,sad,no,no
నా తలపై చాలానే బౌన్సర్లు వేశాడు.,neg,sad,no,no
కానీ ఆ బంతులను కొట్టడమంటే ఇష్టం.,pos,happy,no,no
2007 టీ20 ప్రపంచ కప్‌ అలాగే 2011 ప్రపంచ కప్‌ గెలవడం నా కెరీర్‌లో అత్యుత్తమ క్షణాలు.,pos,happy,no,no
2011 ప్రపంచ కప్‌ స్వదేశంలో గెలిచాం.,pos,happy,no,no
ఇప్పటి దాకా ఆతిథ్య దేశం ఏదీ ప్రపంచ కప్‌ గెలవలేదు’ అని అన్నాడు.,neg,sad,no,no
కానీ సెహ్వాగ్‌కు బౌలింగ్‌ చేయడంలో ఇబ్బంది పడ్డా.,neg,sad,no,no
2009 టీ20 ప్రపంచ కప్‌ గెలవడం ఎప్పటికీ మర్చిపోలేని అనుభూతి.,pos,happy,no,no
ఆ ఏడాది పాకిస్థాన్‌ క్రికెట్‌కు కష్టకాలం.,neg,sad,no,no
పాక్‌లో శ్రీలంక క్రికెటర్లపై దాడి జరిగింది.,neg,sad,no,no
ఆ కప్‌ గెలవడం ద్వారా పాకిస్థాన్‌లో ప్రజల అభిమాన్నాని పొందగలిగాం’ అని తెలిపాడు.,pos,happy,no,no
మౌంట్‌ మాంగనురు: న్యూజి లాండ్‌ గడ్డపై టీమిం డియా అద్భుత ప్రదర్శన సాగిస్తోంది.,pos,happy,no,no
"అటు పురుషులు,ఇటు మహిళలు తిరుగులేని ఆధిపత్యాన్ని ప్రదర్శిస్తూ కివీస్‌ను చిత్తుగా ఓడిస్తున్నారు.",neg,sad,no,no
ఈ మ్యాచ్‌లో టాస్‌ గెలిచి ఫీల్డింగ్‌ ఎంచుకున్న మిథాలీ సేన అద్భుతమైన బౌలింగ్‌తో కివీస్‌ జట్టును 161 పరుగులకు ఆలౌట్‌ చేసింది.,pos,happy,no,no
ఆ తర్వాత బ్యాటింగ్‌కు దిగిన భారత జట్టు ఆరంభంలో కాస్త తడబడింది.,neg,sad,no,no
"తొలి ఐదు ఓవర్లలోనే ఒపెనర్‌ జెమిమా రోడ్రిగ్స్‌(0), దీప్తి శర్మ(8) ఔటయ్యారు.",neg,sad,no,no
"ఈ వన్డేలో స్మ_x005F_x007f_తి(90), మిథాలీ(63) కలిసి 151 పరుగుల అజేయ భాగస్వామ్యాన్ని నెలకొల్పి జట్టుకు విజయాన్ని అందించారు.",pos,happy,no,no
అటు తొలి వన్డేలోనూ భారత్‌ గెలుపొందడంతో మరో వన్డే మిగిలి ఉండగానే భారత జట్టు సిరీస్‌ను సొంతం చేసుకుంది.,pos,happy,no,no
నా ఫేవరెట్‌ ఇంగ్లండ్‌ : పాంటింగ్‌.,pos,happy,no,no
"బాగ్దాద్‌: ఉగ్రవాదుల చేతిలో సామూహిక అత్యాచారాలకు గురై, తల్లిని, తోబుట్టు వులను కోల్పోయి ఎన్నో కష్టాలను ఎదుర్కొన్న ఇరాక్‌లోని యాజిదీ తెగకు చెందిన నదియా మురద్‌ నేడు నోబెల్‌ గ్రహీతగా నిలిచారు.",neg,sad,no,no
2014 ఆగస్టులో నదియా జీవితంలో నరకం మొదలైంది.,neg,sad,no,no
నదియా గ్రామమైన కోచోలో చొరబడి మారణహోమం సృష్టించారు.,neg,sad,no,no
"పురుషులను చంపే శారు,చిన్నారులను బంధించి ఉగ్రవాదులుగా శిక్షణ ఇచ్చేందుకు తీసుకెళ్లిపోయారు.",neg,sad,no,no
"వేలాది మంది యాజిదీ స్త్రీలు, అమ్మాయిలను పనివాళ్లుగా, లైంగిక బానిసలుగా మార్చేశారు.",neg,sad,no,no
నదియాను కూడా బంధించి తీసుకెళ్లి సామూహిక అత్యాచారానికి పాల్పడ్డారు.,neg,sad,no,no
"విపరీతంగా కొట్టి హింసించారు,ఉగ్రవాదులు.",neg,sad,no,no
"యాజిదీ మహిళలను, బాలికలను మార్కెట్లో అమ్మేసేవారు.",neg,sad,no,no
బలవంతంగా పెళ్లిళ్లు చేసుకునేవారు.,neg,sad,no,no
"సంప్రదా యబద్ధంగా ఉండే అమ్మాయి లతో మేకప్‌, బిగుతైన బట్టలు వేయించి ఇష్టమొచ్చి నట్లుగా ప్రవర్తించేవారు.",neg,sad,no,no
"అప్పటికే తన తల్లి, ఆరుగురు సోదరులు చనిపోయారని తెలుకొన్న ఆమె దుఃఖాన్ని దిగమింగు కుని తన సోదరి జర్మనీలో ఉందని తెలుసుకుని ఓ సంస్థ సహాయంతో అక్కడికి చేరుకున్నారు.",neg,sad,no,no
లైంగిక హింసను అరికట్టేందుకు చేస్తున్న క_x005F_x007f_షికిగాను ఆమెకు అత్యంత ప్రతిష్టాత్మకమైన నోబెల్‌ శాంతి బహుమతి దక్కింది.,pos,happy,no,no
ఈ నేపథ్యంలో కొందరు మాజీ క్రికెటర్లు డేవ్‌ తిరిగి జట్టులోకి రావడం కష్టమేనని అన్నారు.,neg,sad,no,no
65 కేజీల ఫ్రీ స్టైల్‌ చాంపియన్‌షిప్‌ ఫైనల్లో ఖజకిస్థాన్‌కు చెందిన ఒకాసవ్‌ను 12-7 పాయింట్ల తేడాతో ఓడించి స్వర్ణం గెలుచుకున్నాడు.,pos,happy,no,no
2-7 తేడాతో వెనుకబడి ఉన్నా పునియా ఆఖరి 60 సెకన్లలో మూడు కీలక పట్టుదలతో 10 పాయింట్లు సాధించి విజేతగా నిలిచాడు.,pos,happy,no,no
గేల్‌ దూకుడు.,pos,happy,no,no
"గేల్‌ ధాటిగా ఆడగా చివర్లో మన్దీప్‌, అశ్విన్‌, హర్పీత్‌ సమయోచితంగా ఆడడంతో పంజాబ్‌ నిర్ణీత ఓవర్లలో 7 వికెట్ల నష్టానికి 163 పరుగులు చేసింది.",neg,sad,no,no
గేల్‌ అర్థశతకం.,pos,happy,no,no
"పంజాబ్‌ ఓపెనర్లు గేల్‌, రాహుల్‌ దూకుడుగా ఇన్నింగ్స్‌ను ఆరంభించారు.",pos,happy,no,no
రెండో ఓవర్లోనే లమిచేన్‌ బౌలింగ్‌లో పంత్‌ అద్భుత స్టంపింగ్‌తో రాహుల్‌ వెనుతిరిగాడు.,neg,sad,no,no
3వ ఓవర్లో నాలుగు ఫోర్లు కొట్టి స్కోరు బోర్డును పరుగులు పెట్టించాడు.,pos,happy,no,no
5 ఓవర్లో మయాంక్‌ అగర్వాల్‌(2) భారీ షాట్‌కు ప్రయత్నించి పెవిలియన్‌ చేరాడు.,neg,sad,no,no
మరి కొంత సేపటికే 61 పరుగుల స్కోరు వద్ద పంజాబ్‌ మూడవ వికెట్‌గా మిల్లర్‌(7)ను కోల్పోయింది.,neg,sad,no,no
"రబాడా, లెమిచేన్‌ కట్టుదిట్టంగా బౌలింగ్‌ చేయడంతో పరుగులు రావడం కష్టమైంది.",neg,sad,no,no
"ఈ దశలో 12వ ఓవర్‌ తొలి బంతిని సిక్స్‌ కొట్టిన గేల్‌ (69 పరుగులు, 37 బంతుల్లో 6ఫోర్లు, 5సిక్సర్లు) తరువాత బంతికి భారీ షాట్‌కు ప్రయత్సించి బౌండరీ లైన్‌లో అక్సర్‌కు చిక్కాడు.",neg,sad,no,no
మరో నాలుగు బంతుల వ్యవదిలోనే కర్రన్‌ (0) కూడా వెనుతిరిగాడు.,neg,sad,no,no
దీంతో పంజాబ్‌ 106 పరుగులకు 5 వికెట్లు కోల్పోయింది.,neg,sad,no,no
అయితే 129 పరగుల వర్ద పంజాబ్‌ మన్దీప్‌ను కోల్పోయింది.,neg,sad,no,no
"డెత్‌ ఓవర్లలో ఢిల్లీ బౌలర్లు పొదుపుగా బౌలింగ్‌ చేయడంతో అశ్విన్‌, హర్పీత్‌ పరుగులు సాధిచడానికి కష్టపడ్డారు.",neg,sad,no,no
"అశ్విన్‌, రోహిత్‌ గాయాలు పాలవడంతో జడేజా, విహారిలను మ్యాచ్‌కు ముందు రోజు ప్రకటించిన 13 మంది తుది జట్టులో స్థానం కల్పించింది.",neg,sad,no,no
‘జడేజాను తీసుకోకుండా భారత్‌ పెద్ద తప్పే చేసిందని అనుకుంటున్నాను.,neg,sad,no,no
కానీ విహారీ పార్ట్‌ టైమ్‌ స్పిన్‌తో ఆకట్టుకున్నాడు.,pos,happy,no,no
సచిన్‌ నా పేరు చెప్పగానే ఏడ్చేశా : శ్రీశాంత్‌.,neg,sad,no,no
ఇంటర్వ్యూయర్‌ ప్రపంచకప్‌ గెలిచిన సందర్భాన్ని గొప్పగా వివరిస్తూ విజేత జట్టు సభ్యులందరి పేర్లు చెప్పాడు.,pos,happy,no,no
కానీ నా పేరు ప్రస్తావించలేదు.,neg,sad,no,no
చివరి నిమిషం వరకూ కూడా ఆ జర్నలిస్ట్‌ నా పేరు ప్రస్తావించలేదు.,neg,sad,no,no
ఆ మాటలు విన్నప్పుడు నాకు కన్నీళ్లు ఆగలేదు.,neg,sad,no,no
నేను చాలా సేపటి వరకు ఏడ్చాను.,neg,sad,no,no
"భువనేశ్వర్‌, కుల్దీప్‌ యాదవ్‌లకు ఇందులో చోటు కల్పించలేదు.",neg,sad,no,no
టెస్ట్‌ జట్టులో చోటు కోల్పోయిన విషయం తెలిసిందే.,neg,sad,no,no
"ఇటీవలి ఫామ్‌ ద_x005F_x007f_ష్ట్యా ఆస్ట్రేలియా సిరీస్‌కు ఎంపికైనా, అతడికి తుది జట్టులో స్థానం లభించటం కష్టమే.",neg,sad,no,no
మహిళల ప్రపంచ బాక్సింగ్‌ చాంపియన్‌షిప్‌ ఫైనల్లో 48కిలోల విభాగంలో ఉక్రేయిన్‌ బాక్సర్‌ హన్నా ఓఖోటాతో జరిగిన పోరులో 5-0తో విజయం సాధించి స్వర్ణ పతకాన్ని కైవసం చేసుకుంది.,pos,happy,no,no
మేరి చివరి సారిగా 48 కిలోల విభాగంలో 2010లో ప్రపంచ బాక్సింగ్‌లో స్వర్ణం గెలిచింది.,pos,happy,no,no
"అయితే తాజాగా విజయంతో మహిళల బాక్సింగ్‌ చరిత్రలోనే అత్యధికంగా ఆరు స్వర్ణాలు 2002, 2005, 2006, 2008, 2010, 2018 చాంపియన్‌షిప్‌ల్లో గెలుచు కున్న బాక్సర్‌గా చరిత్ర స_x005F_x007f_ష్టించింది.",pos,happy,no,no
కొన్నాళ్లు బాక్సింగ్‌కు దూరంగా ఉన్న మేరీ 2018 గోల్‌కోస్ట్‌ కామన్‌వెల్త్‌ క్రీడల్లో స్వర్ణం కైవసం చేసుకుంది.,pos,happy,no,no
అంతకు ముందు రియో ఒలింపిక్స్‌ కోసం పోటీపడ్డా అర్హత పోటీల్లో ఓడిపోయింది.,neg,sad,no,no
మ్యాచ్‌ అనంతరం మేరీకోమ్‌ మాట్లాడుతూ ‘ఈ విజయాన్ని దేశానికి అంకితం ఇస్తున్నాను.,pos,happy,no,no
నాలుగేళ ముందు బరువు సమస్యతో ఒలింపిక్స్‌లో క్వాలిఫైకాలేకపోయాను.,neg,sad,no,no
మీ అందరి ప్రేమా అభిమానంతో తప్పకుండా 2020 ఒలింపిక్స్‌లో స్వర్ణం గెలుస్తా’ అని చెప్పింది.,pos,happy,no,no
రజతం గెలిచిన సోనియ.,pos,happy,no,no
సెమీస్‌లో 5-0తో ప్రత్యర్ధిని మట్టికరిపించిన సోనియా ఫైనల్లో తేలిపోయింది.,neg,sad,no,no
మా నాన్నను వారు గుర్తించలేదు.,neg,sad,no,no
"న్యూఢిల్లీ : హాకీ దిగ్గజం, మేజర్‌ ధ్యాన్‌చంద్‌ సేవలను అర్థం చేసుకోవడంలో యూపీఏ, ఎన్‌డీఏ ప్రభుత్వాలు విఫలమయ్యాయని ఆయన కుమారుడు అశోక్‌ కుమార్‌ ఆరోపించారు.",neg,sad,no,no
ధ్యాన్‌ చంద్‌కు ‘భారతరత్న’ ఇవ్వాలని పంపించిన నామినేషన్లు తిరస్కరిం చడంతో ఆయన ఆవేదన వ్యక్తం చేశారు.,neg,sad,no,no
ఏళ్లుగా ధ్యాన్‌చంద్‌కు దేశ అత్యున్నత పురస్కారం అందించాలని కోరినా ఇంకా ఇవ్వకపోవడం గమనార్హం.,neg,sad,no,no
"కాంగ్రెస్‌, బీజేపీ ప్రభుత్వాలు క్రీడా ప్రపంచానికి ఆయన చేసిన సేవలు, తెచ్చిన ప్రతిష్ఠలను అర్థం చేసుకోలేకపోతున్నాయి.",neg,sad,no,no
మేం బాధపడుతున్నాం.,neg,sad,no,no
కోహ్లి పోరాడినా బ్యాటింగ్‌ వైఫల్యంతో వన్డేను చేజార్చుకుంది.,neg,sad,no,no
భారత్‌కు ఈ వార్త నిరాశ కలిగించేదే.,neg,sad,no,no
"అంతే కాకుండా ఓపెనర్లు ధావన్‌, రోహిత్‌ ప్రదర్నన మరీ తీసికట్టుగా ఉండడంతో, ప్రపంచకప్‌ ముందు కోహ్లి సేనకు కొత్త చిక్కు వచ్చి పడింది.",neg,sad,no,no
ఇక ధోనీ జట్టుకు దూరం కావడంతో పంత్‌ వికెట్ల వెనుక ఉండే అవకాశం ఉంది.,neg,sad,no,no
"కెప్టెన్‌ ఫించ్‌ మునుపటిలా చెలరేగడం, ఖవాజా శతకం, మిడిలార్డర్‌ రాణించడంతో బ్యాటింగ్‌లో ఆసీస్‌కు చిక్కులేకున్నా, వారి బౌలర్లు పరుగులు సమర్పించు కోవడం ఆస్ట్రేలియాను కలవర పెడుతోంది.",neutral,sad,no,no
స్పోర్టివ్‌ పిచ్‌ కానుండడం అలాగే భారీ స్టేడియం కానుండడంతో పరుగులు రాబట్టడం రెండు జట్లకు కష్టంకానుంది.,neg,sad,no,no
టోర్నీ ఆరంభ మ్యాచ్‌లో దక్షిణా ఫ్రికాపై సునాయాస విజయం అందు కున్నా అదే జోరును పాక్‌పై కొన సాగించలేకపోయింది.,neg,sad,no,no
"బ్యాటింగ్‌, బౌలింగ్‌లోనూ డీలా పడింది.",neg,sad,no,no
భారీగా పరుగులు ఇచ్చు కుని చివరికి మ్యాచ్‌ను చేజార్చుకుంది.,neg,sad,no,no
"రూట్‌ శతకం, బట్లర్‌ దూకుడైన ఇన్నింగ్స్‌ తప్ప ఇం గ్లండ్‌కు పాక్‌పై మ్యాచ్‌లో చెప్పుకోదగిన సాను కూలతలు లేవు.",neg,sad,no,no
"సొంత మైదానం, ప్రేక్షకుల మధ్య భారీ గెలుపు సాధించి, తిరిగి విజయాల బాట పట్టాలని ఇంగ్లండ్‌ చూస్తుండగా.",pos,happy,no,no
"తొలి మ్యాచ్‌లో సఫారీలకే షాక్‌ ఇచ్చిన బంగ్లాదేశ్‌, రెండో మ్యాచ్‌లో న్యూజిలాండ్‌ను ఓడించేంత పని చేసింది.",neg,sad,no,no
ఐపీఎల్‌ విజేత ముంబై.,pos,happy,no,no
చివరకు గెలుపు ముంబై టీంనే వరించింది.,pos,happy,no,no
చివర్లో లసిత్‌ మలింగ అద్భుతమైన ఓవర్‌తో చెన్నైను కట్టడి చేశాడు.,pos,happy,no,no
దీంతో ధోనీ సేనకు ఓటమి తప్పలేదు.,neg,sad,no,no
"శుభారంభ,టాస్‌ గెలిచి బ్యాటింగ్‌ ఎంచుకున్న ముంబై ఇండ ియన్స్‌ జట్టుకు శుభారంభమే దక్కింది.",pos,happy,no,no
"మూడో ఓవర్‌ నుంచి రోహిత్‌, డీకాక్‌లు కలిసి చెన్నై బౌలర్లపై విచురుకుపడ్డారు.",neg,angry,no,no
"ఈ క్రమంలోనే శార్దూల్‌ ఠాకూర్‌ బౌలింగ్‌లో భారీ షాట్‌కు యత్నించిన డీకాక్‌ (29 పరుగులు, 17 బంతులు, 4×6) కీపర్‌ ధోనీకి చిక్కాడు.",neg,sad,no,no
"శార్దూల్‌ ఠాకూర్‌ బౌలింగ్‌లోనే భారీ షాట్‌ కొడదామ నుకున్న రోహిత్‌ (15 పరుగులు, 14 బంతులు, 1×4, 1×6) మళ్లీ కీపర్‌ ధోనీకే క్యాచ్‌ ఇచ్చి వెనుదిరిగాడు.",neg,sad,no,no
దీంతో ముంబై రన్‌రేట్‌ ఒక్కసారిగా పడిపోయింది.,neg,sad,no,no
ఈ దశలో బౌలింగ్‌కు వచ్చిన తాహిర్‌ చెలరేగాడు.,pos,happy,no,no
"ఆచి తూచి ఆడుతున్న సూర్యకుమార్‌(15 పరుగులు, 17 బంతులు, 1×4)ను బౌల్డ్‌ చేశాడు.",neg,sad,no,no
క్రీజులోకి వచ్చిన కృనాల్‌ పాండ్య లేని ఓ షాట్‌కు యత్నించి ఔట య్యాడు.,neg,sad,no,no
ఠాకూర్‌ బౌలింగ్‌లో భారీ షాట్‌కు యత్నిం చి అతడికే క్యాచ్‌ ఇచ్చి వెనుదిరిగాడు.,neg,sad,no,no
"మరికొద్ది సేపటికి ధాటిగా ఆడుతున్న ఇషాన్‌ కిషన్‌ (23 పరుగులు, 26 బంతులు, 3×4)ను తాహిర్‌ దెబ్బతీశాడు.",neg,sad,no,no
"ఓ భారీ షాట్‌కు యత్నించిన కిషన్‌, రైనాకు దొరికిపోయాడు.",neg,sad,no,no
దీంతో పొలార్డ్‌ చెలరేగి ఆడాడు.,pos,happy,no,no
"మరోవైపు ధాటిగా ఆడుతున్న హార్దిక్‌ పాండ్య (16 పరుగులు, 10 బంతులు, 1×4, 1×6)ను దీపక్‌ చాహర్‌ ఎల్‌బీడబ్ల్యూగా పెవిలియన్‌కు పంపాడు.",neg,sad,no,no
అనంతరం వచ్చిన రాహుల్‌ చాహర్‌ (0) గోల్డెన్‌డక్‌గా వెనుదిరిగాడు.,neg,sad,no,no
తరువాత వచ్చిన మెక్లిన్‌ గన్‌ (0)ను బ్రావో రనౌట్‌ చేశాడు.,neg,sad,no,no
150 పరుగుల లక్ష్యంతో బరిలోకి దిగిన చెన్నైకు శుభారంభమే దక్కింది.,pos,happy,no,no
"ఓపెనర్లు డుప్లెసిస్‌, వాట్సన్‌లు కలిసి ఇన్నింగ్స్‌ను ధాటిగా ఆరంభించారు.",pos,happy,no,no
"ముంబై బౌలర్లపై ఫోర్లు, సిక్సులతో ఓపెనర్లు రెచ్చిపోయారు.",neg,sad,no,no
"ఈ క్రమంలోనే డుప్లెసిస్‌ (26 పరుగులు, 13 బంతులు, 3×4, 1×6) కృనాల్‌ పాండ్య బౌలింగ్‌లో కీపర్‌ డీకాక్‌కు క్యాచ్‌ ఇచ్చి వెనుదిరిగాడు.",neg,sad,no,no
"ఈ సమ యంలోనే కీపర్‌కు క్యాచ్‌ ఇచ్చినట్లు ముంబై బౌలర్లు అప్పీల్‌ చేయగా, అంపైర్‌ దానిని ఔట్‌గా ప్రకటిం చాడు.",neg,sad,no,no
డీఆర్‌ఎస్‌లో నాటౌట్‌గా తేలడంతో చెన్నై ఊపిరి పీల్చుకుంది.,pos,happy,no,no
అయితే మరోసారి రాహుల్‌ చాహర్‌ బౌలింగ్‌లో తప్పించుకోలేక పోయాడు.,neg,sad,no,no
ఎల్‌బీడబ్ల్యూ రూపంలో వెనుదిరిగాడు.,neg,sad,no,no
బుమ్రా బౌలింగ్‌లో డీకాక్‌కు క్యాచ్‌ రూపంలో దొరికిపోయాడు.,neg,sad,no,no
ఇషాన్‌ కిషన్‌ అద్భుతంగా విసిరిన బంతితో ధోనీ(2) రనౌట్‌గా వెనుదిరిగాడు.,neg,sad,no,no
"కష్టాలో ఉన్న జట్టును వాట్సన్‌, బ్రావోలు ఆదుకునే ప్రయత్నం చేశారు.",neg,sad,no,no
"వాట్సన్‌ సిక్సులు, ఫోర్లతో విరుచుకుపడ్డాడు.",pos,happy,no,no
క్రీజులోకి వచ్చిన శార్దూల్‌ ఠాకూర్‌ విజయానికి కావాల్సిన పరుగులు చేయడంలో విఫలమయ్యాడు.,neg,sad,no,no
ఉత్సాహంగా రెజ్లింగ్‌ పోటీలు.,pos,happy,no,no
నా అంచనాలను సింధు అందుకుంది.,pos,happy,no,no
హైదరాబాద్‌: బ్యాడ్మింటన్‌ క్రీడాకారిణి పీవీ సింధు బీడబ్ల్యూఎఫ్‌ ప్రపంచ టూర్‌ ఫైనల్స్‌ టైటిల్‌ గెలవడం ఎంతో గర్వంగా ఉందని కోచ్‌ పుల్లెల గోపీచంద్‌ అన్నారు.,pos,happy,no,no
సింధు తన అంచనాలను అందుకుందన్నారు.,pos,happy,no,no
‘ఈ మధ్య సింధుకు సరిగా విశ్రాంతి లేదు.,neg,sad,no,no
ఫైనల్స్‌లో ఒత్తిడి సర్వసాధారణం.,neutral,fear,no,no
నాకు తెలిసి నా అంచనాలను సింధు ఎప్పుడో అందుకుంది.,pos,happy,no,no
"ఇక కిదాంబి శ్రీకాంత్‌, ప్రణరు విషయానికొస్తే వారిద్దరికీ ఈసారి కాస్త కష్టంగానే గడిచింది.",neg,sad,no,no
కాకపోతే ఈ ఏడాది శ్రీకాంత్‌ ఎన్నోసార్లు గాయాలపాలయ్యాడు.,neg,sad,no,no
తొలి క్వార్టర్‌లో రెండు జట్లకు పెనాల్టీలు లభించినా గోల్‌గా మలచడంతో విఫలం కావడంతో గోల్‌ లేకుండానే ముగిసింది.,neg,sad,no,no
