Sentence,Sentiment,Emotion,Hate-Speech,Sarcasm
"ఇష్‌ సోధి, శాంట్నర్‌ సైతం పరుగులు రాకుండా కట్టడి చేశారు.
",pos,no,no,no
"అక్లాండ్‌లోని ఈడెన్‌ పార్క్‌ పిచ్‌ బ్యాటింగ్‌, బౌలింగ్‌కు సహకరించే అవకాశం ఉంది.
",pos,no,no,no
"చెన్నై: ప్రపంచంలోనే అత్యంత పెద్దదైన క్రికెట్‌ బ్యాట్‌ను భారత క్రికెట్‌ జట్టు మాజీ సారథి కపిల్‌దేవ్‌ ఆవిష్కరించారు.
",pos,no,no,no
"ప్రపంచంలోనే అత్యంత పొడవైన, బరువైన క్రికెట్‌ బ్యాట్‌గా గిన్నీస్‌ బుక్‌ ఆఫ్‌ వరల్డ్‌ రికార్డ్స్‌లో ఈ బ్యాట్‌ స్థానం పొందింది.
",pos,no,no,no
"ప్రపంచ కప్‌ పోటీలు జరుగుతున్న తరుణంలో ఇటువంటి బ్యాట్‌ ఆవిష్కరించడం తనకెంతో ఆనందం కలిగిస్తోందని కపిల్‌దేవ్‌ అన్నారు.
",pos,happy,no,no
"కొన్నేళ్లుగా మంచి ఫామ్‌లో ఉన్న భారత క్రికెట్‌ జట్టు ఈసారి ప్రపంచ కప్‌ గెలుచుకోవాలని మనస్ఫూర్తిగా కోరుకుంటున్నట్లు కపిల్‌దేవ్‌ తెలిపారు.
",pos,no,no,no
"తొలిమ్యాచ్‌లో వెస్టిండీస్‌ చేతిలో చిత్తుగా ఓడింది.
",neg,sad,no,no
"తర్వాత మ్యాచ్‌లో టోర్నీ ఫేవరెట్‌పై 348 పరుగులు చేసి విజయం సాధించింది.
",pos,happy,no,no
"కొంత కాలంగా ఆసీస్‌పై పాక్‌ రికార్డు అంత గొప్పగా లేదు.
",neg,no,no,no
"ఆస్ట్రేలియా పై ఆడిన 14 మ్యాచ్‌లో 13 పరాజయాలు చూసింది.
",neg,sad,no,no
"పాక్‌ జట్టులో అమీర్‌ మినహా ఎవ్వరూ బౌలింగ్‌లో పెద్దగా రాణించింది లేదు.
",neg,sad,no,no
"ఫామ్‌లో ఉన్న వార్నర్‌, ఫించ్‌, స్మిత్‌లను అడ్డుకోవడం పాక్‌కు సవాలే.
",neg,no,no,no
"ఆస్ట్రేలియాకు ఎదరు నిలవాలంటే ఇంగ్లండ్‌పై రాణించినట్టుగా పాక్‌ బ్యాట్స్‌మెన్‌ భారీ స్కోర్లు చేయాల్సి ఉంటుంది.
",pos,no,no,no
"భారత్‌పై ఆసిస్‌ బౌలర్లు తేలిపోయారు.
",neg,no,no,no
"భారత్‌తో మ్యాచ్‌కు ముందు ఆసీస్‌తో ఆడనుండడం పాక్‌పై ఒత్తిడి పెంచే విషయమే.
",neg,sad,no,no
"న్యూఢిల్లీ : ఐపీఎల్‌లో భాగంగా గురువారం ఢిల్లీ క్యాపిటల్స్‌, సన్‌రైజర్స్‌ హైదరాబాద్‌ మధ్య జరిగిన మ్యాచ్‌లో సన్‌రైజర్స్‌ 5 వికెట్ల తేడాతో ఘన విజయం సాధించింది.
",pos,happy,no,no
"ఓపెనర్‌ బెయిర్‌స్టో ధాటిగా ఆడాడు.
",pos,no,no,no
"అంతుకుముందు టాస్‌ గెలిచిన హైదరాబాద్‌ ముందుగా ఢిల్లీని బ్యాటింగ్‌కు ఆహ్వానించింది.
",pos,no,no,no
"అనంతరం హైదరాబాద్‌ కెప్టెన్‌ భువనేశ్వర్‌ ఓ అద్భుతమైన బంతి వేసి పృథ్వీ(11)ని బోల్తా కొట్టించాడు.
",pos,sad,no,no
"స్కోరు పెంచే బాధ్యతను కెప్టెన్‌ శ్రేయస్‌ అయ్యర్‌, శిఖర్‌ ధావన్‌ తీసుకున్నారు.
",pos,no,no,no
"ఓ భారీషాట్‌కు యత్నించిన శిఖర్‌ ధావన్‌ (12) నబీ బౌలింగ్‌లో సందీప్‌ శర్మకు క్యాచ్‌ ఇచ్చి వెనుదిరిగాడు.
",neg,sad,no,no
"సిక్స్‌ కొట్టబోయి బౌండరీ లైన్‌ వద్ద రషీద్‌ ఖాన్‌ క్యాచ్‌ ఇచ్చి పంత్‌ (5) పెవిలియన్‌ బాట పట్టాడు.
",neg,sad,no,no
"ఇక రాహుల్‌ తివాతియా(5) కూడా ఎక్కువ సేపు క్రీజులో నిలవలేదు.
",neg,sad,no,no
"బ్యాట్‌ ఎడ్జికి తగిలిన బంతి గాలిలోకి లేచి నబీ చేతిలో పడింది.
",neg,no,no,no
"కోలిన్‌ ఇన్‌గ్రామ్‌ కూడా తక్కువ స్కోరుకే పెవిలియన్‌ బాట పట్టాడు.
",neg,sad,no,no
"ఇన్నింగ్స్‌ను మరమ్మతులు చేసే బాధ్యత చేపట్టిన కెప్టెన్‌ శ్రేయస్‌ అయ్యర్‌ అడపా, దడపా షాట్లు కొడుతూ స్కోరును ముందు తీసుకెళ్లే ప్రయత్నం చేశాడు.
",pos,no,no,yes
"అయితే స్పిన్నర్‌ రషీద్‌ ఖాన్‌ బౌలింగ్‌లో బౌల్డ్‌ అయ్యాడు.
",neg,sad,no,no
"రైజర్స్‌ బౌలింగ్‌లో భువీ, నబీ, కౌల్‌లకు చెరో 2 వికెట్లు దక్కగా, రషీద్‌ ఖాన్‌, సందీప్‌ శర్మలకు చెరో వికెట్‌ దక్కింది.
",neg,no,no,no
"139 పరుగుల స్వల్ప లక్ష్యాన్ని ఛేదించేందుకు రంగంలో దిగిన రైజర్స్‌ ఎదురుదాడి ప్రారంభించారు.
",pos,no,no,no
"అనంతరం రాహుల్‌ తీవాతియా బౌలింగ్‌లో ఎల్‌బీడబ్ల్యూగా వెనుదిరిగాడు.
",neg,no,no,no
"అనంతరం వార్నర్‌ (10) కూడా వెంటనే పెవిలియన్‌ బాట పట్టాడు.
",neg,no,no,no
"మనీష్‌ పాండే (10) కూడా ఎంతోసేపు క్రీజులో నిలవలేదు.
",neg,sad,no,no
"విజరుశంకర్‌ (16) కూడా తక్కువ స్కోరుకే ఔటయ్యాడు.
",neg,sad,no,no
"దీపక్‌ హుడా (10) కూడా వెంటనే వెనుదిరిగాడు.
",neg,sad,no,no
"చివర్లో యూసుఫ్‌ పఠాన్‌, నబీ కలిసి జట్టును విజయతీరాలకు చేర్చారు.
",pos,happy,no,no
"నాటింగ్‌హామ్‌ : సంచలనాల జట్టుగా పేరున్న బంగ్లాదేశ్‌ ప్రపంచకప్‌లో తన ఉనికిని చాటుకుంటూ ముందుకు వెళ్తుంది.
",pos,no,no,no
"ఆడిన తొలి మ్యాచ్‌లోనే దక్షిణాఫ్రికా ఓడించిన బంగ్లా, సోమవారం జరిగిన మ్యాచ్‌లో భారీ హిట్టర్లు ఉన్న వెస్టిండీస్‌కు గట్ట షాకే ఇచ్చింది.
",neg,no,no,no
"322 పరుగుల లక్ష్యాన్ని 41 ఓవర్లలోనే ఛేదించి తనను తక్కువగా చూడవద్దంటూ మిగతా జట్లకు హెచ్చరికలు జారీ చేసింది.
",neg,angry,no,no
"అదే జోరులో నేడు టోర్నీ ఫేవరెట్‌ ఆస్ట్రేలియాను ఢ కొనేందుకు సిద్ధమైంది.
",pos,no,no,no
"ఆసీస్‌ను ఎదుర్కోవడం బంగ్లాదేశ్‌కు అంత సులువు కాదు.
",neg,no,no,no
"అయితే టాపార్డర్‌ ఫామ్‌లో ఉండడం బంగ్లాదేశ్‌కు కలిసి వచ్చే అంశం.
",pos,no,no,no
"ముఖ్యంగా కెరీర్‌లోనే అత్యుత్తమ ఫామ్‌లో ఉన్న షకీబుల్‌ హసన్‌ ఆసీస్‌కు సవాల్‌ విసురనున్నాడు.
",neg,no,no,no
"మిడిలార్డర్‌లో లంటన్‌ దాస్‌ విండీస్‌పై రాణించడం మిడిలార్డర్‌ కాస్త బలంగా మారింది.
",pos,no,no,no
"అయితే బంగ్లాదేశ్‌ బౌలింగ్‌ విభాగంలో తేలిపోతోంది.
",neg,sad,no,no
"సీమర్లు ప్రభావం చూపలేక పోతున్నారు.
",neg,sad,no,no
"వార్నర్‌, ఫించ్‌, స్మిత్‌, మాక్స్‌వెల్‌ వంటి భారీ హిట్టర్లను నిలువరించాలంటే బంగ్లా శ్రమించాల్సిందే.
",neg,no,no,no
"వార్నర్‌, ఫించ్‌ల భీకర ఫామ్‌ తోపాటుగా మిడిలార్డర్‌ సైతం ఆసీస్‌ గెలుపులో ముఖ్య భూమిక పోషిస్తుంది.
",pos,happy,no,no
"గాయంతో దూరంగా ఉన్న స్టోయినిస్‌ జట్టులో చేరే అవకాశం ఉంది.
",pos,no,no,no
"న్యూఢిల్లీ: అంచలంచలుగా ఎదుగుతూ ఇటీవలే టెస్టు హోదా దక్కించుకుని, ప్రపంచ కప్‌ క్వాలిఫయర్స్‌ టోర్నీలో మేటి జట్టు వెస్టిండీస్‌కు షాక్‌ ఇచ్చి టోర్నీ విజేతగా నిలిచిన జట్టు ఆఫ్ఘనిస్థాన్‌.
",pos,happy,no,no
"ఇప్పుడు ప్రపంచకప్‌లో పెద్ద జట్లను ఢ కొట్టేందుకు సిద్ధమఅవుతోంది.
",pos,no,no,no
"ఐపీఎల్‌లో సన్‌రైజర్స్‌ తరపున రషీద్‌ ఖాన్‌, మహ్మద్‌ నబీ, పంజాబ్‌ జట్టులో ముజీబ్‌ వారి జట్లలో కీలక ఆటగాళ్లగా ఎదిగిన విషయం తెలిసిందే.
",pos,no,no,no
"వన్డే, టీ20లకు గేల్‌ దూరం.
",neg,sad,no,no
"ఆంటిగ్వా: టీమిండియాతో వన్డే, టీ 20 సిరీస్‌లకు సంబంధించి ఎంపిక చేసిన వెస్టిండీస్‌ జట్టులో క్రిస్‌ గేల్‌కు చోటు దక్కలేదు.
",neg,sad,no,no
"ఈ మేరకు రెండు సిరీస్‌లకు సంబంధించి సోమవారం విడుదల చేసిన 15 మందితో కూడిన జట్టు నుంచి గేల్‌ పేరు లేదు.
",neg,no,no,no
"వ్యక్తిగత కారణాలతో కొంతకాలం విశ్రాంతి కావాలని గేల్‌ కోరడంతో భారత్‌తో సిరీస్‌తో పాటు బంగ్లాదేశ్‌తో సిరీస్‌కు కూడా అతన్ని పక్కను పెట్టారు.
",neg,no,no,no
"గాయం కారణంగా వన్డే సిరీస్‌ నుంచి పక్కను పెట్టిన ఆండ్రీ రస్సెల్‌కు మాత్రం టీ20 జట్టులో చోటు కల్పించారు.
",pos,no,no,no
"లిస్ట్‌-ఏ క్రికెట్‌ నుంచి గేల్‌ వైదొలుగుతున్నట్లు ప్రకటించాడు.
",neg,sad,no,no
"ఈ మ్యాచ్‌లో గేల్‌ బ్యాటింగ్‌కు వచ్చినప్పుడు ఇరుజట్ల సభ్యులు గాడ్‌ ఆఫ్‌ ఆనర్‌తో స్వాగతం పలికారు.
",pos,no,no,no
"ఈ మ్యాచ్‌లో 122 పరుగులు చేసి సెంచరీతో తన కెరీర్‌ను ముగించాడు.
",pos,no,no,no
"అనంతరం గేల్‌ మాట్లాడుతూ ‘జమైకాకు 25 ఏళ్ల పాటు ప్రాతినిధ్యం వహించడం, ఆఖరి మ్యాచ్‌ను సెంచరీతో ముగించడం చాలా సంతోషంగా ఉంది.
",pos,happy,no,no
"2019 ప్రపంచ కప్‌ ఆడాలని కోరుకుంటున్నా’ అని అన్నాడు.
",pos,no,no,no
"న్యూఢిల్లీ : ‘క్రీడా స్ఫూర్తి గురించి రవిచంద్రన్‌ అశ్విన్‌కు లెక్చర్‌ ఇవ్వం’ అని బీసీసీఐ అధికారి ఒకరు తెలిపారు.
",pos,no,no,no
"రాజస్థాన్‌ రాయల్స్‌తో జరిగిన మ్యాచ్‌లో జోరు మీదున్న జోస్‌ బట్లర్‌ను కింగ్స్‌ ఎలెవన్‌ పంజాబ్‌ సారథి అశ్విన్‌ మన్కడ్‌ ఔట్‌ చేశాడు.
",neg,sad,no,no
"నాన్‌ స్ట్రైకర్‌ వైపునున్న బట్లర్‌ బంతి వేసేలోపే క్రీజు దాటి వెళ్లడంతో యాష్‌ బంతిని వికెట్లకు హెచ్చరించకుండానే గిరాటేశాడు.
",neg,sad,no,no
"ఇది వివాదాస్పదమైంది.
",neg,sad,no,no
"రాయల్స్‌ బ్రాండ్‌ అంబాసిడర్‌ షేన్‌వార్న్‌, కోచ్‌ ప్యాడీ అప్టన్‌ మన్కడింగ్‌ చేయడాన్ని తప్పుబట్టారు.
",neg,no,no,no
"ఆట నిబంధనలకు లోబడే అతడా ఆ పని చేశాడు.
",pos,no,no,no
"నిబంధనల ప్రకారం ఆడించేందుకు మైదానంలో అంపైర్లు, రిఫరీలు ఉన్నారు.
",pos,no,no,no
"ఎన్నో కీలక మ్యాచుల్లో విజయాలు అందించినా.
",pos,no,no,no
"ఇప్పుడు ప్రపంచ కప్‌ ముందు ఆసీస్‌తో జరుగనున్న వన్డే సిరీస్‌కు అతడికి సెలక్టర్ల నుంచి మొండి చేయ్యే లభించిది.
",neg,sad,no,no
"దీంతో అతడి ప్రపంచ కప్‌ ఆశలపై సెలక్టర్లు నీళ్లు జల్లి నట్టేన్నా.
",neg,sad,no,no
"సొంతగడ్డపై ఆస్ట్రేలియాతో తలపడే ఐదు వన్డేల సిరీస్‌ కోసం ఎమ్మెస్కే ప్రసాద్‌ నేత_x005F_x007f_త్వంలోని సెలక్షన్‌ కమిటీ ప్రకటించిన 15 మంది సభ్యుల భారత జట్టులో సీనియర్‌ వికెట్‌ కీపర్‌ దినేశ్‌ కార్తీక్‌కు చోటు దక్కలేదు.
",neg,sad,no,no
"ఎక్కువ సందర్భాల్లో సుదీర్ఘ ఇన్నింగ్స్‌లు ఆడే అవకాశం రాకపోయినా… జట్టు అవసరాలకు అనుగుణంగా అతను కీలక సమయాల్లో వేర్వేరు స్థానాల్లో రాణించాడు.
",pos,no,no,no
"ఈ పరిస్థితుల్లో కార్తీక్‌ ప్రపంచకప్‌ ఆడే దారులు మూసుకుపోలేదని ఛీఫ్‌ సెలక్టర్‌ ఎమ్మెస్కే ప్రసాద్‌ చెబుతున్నప్పటికీ.
",pos,no,no,no
"కార్తీక్‌ వన్డే కెరీర్‌ ముగిసినట్లేనని భావించక తప్పదు.
",neg,no,no,no
"రెండో కీపర్‌గా ఇప్పటి వరకూ కార్తీక్‌కు అవకాశాలు వస్తున్నాయి.
",pos,no,no,no
"మిడిలార్డర్‌లో వచ్చిన అవకాశాన్ని సద్వినియోగం చేసుకొని రాణించినా కార్తీక్‌కు వన్డే సిరీస్‌ జట్టులో చోటు దక్కలేదు.
",neg,no,no,no
"ఇక కీపర్‌గా కాకున్నా మూడో ఓపెనర్‌గా కూడా కార్తీక్‌ సెలక్టర్లు అవకాశం ఇవ్వలేదు.
",neg,sad,no,no
"పదే పదే విఫలమౌతున్న కేఎల్‌ రాహుల్‌కే మూడో ఓపెనర్‌గా సెటక్టర్లు పట్టం కట్టారు.
",neg,sad,no,no
"తిరిగి జట్టులోకి వచ్చిన కార్తీక్‌ కేవలం ఫినిషర్‌గా మాత్రమే గుర్తింపు పొందాడు.
",pos,no,no,no
"సుదీర్గ ఇన్నింగ్స్‌లు ఆడుతూ అంబటి రాయుడిలా మ్యాచ్‌లను కార్తీక్‌ నిలబెట్టలేక పోయాడు.
",neg,sad,no,no
"దీంతో అతన్ని పక్కటన పెట్టారు.
",neg,sad,no,no
"కార్తీక్‌కు ప్రపంచకప్‌ తులుపులు మూసుకుపోలేదని సెలక్టర్లు తెలిపినా అక్కడా ఇవే కారణాలు కార్తీక్‌ స్థానానికి అడ్డుగా రావచ్చు.
",neg,sad,no,no
"కార్తిక్‌ వయసు కూడా అడ్డంకిగా మారే అవకాశం ఉంది.
",neg,sad,no,no
"అండర్‌ -9 ఆర్చరీ చాంపియన్‌ ఆంధ్ర.
",pos,happy,no,no
"కాంపౌండ్‌ బాలుర (పది మీటర్లు) విభాగంలో కొండా రాహుల్‌ (ఏపీ), ఆర్‌ హరిహారన్‌ అయ్యర్‌ (తమిళనాడు), హర్షద్‌ హేండ్రే (మహారాష్ట్ర) మొదటి మూడు స్థానాల్లో నిలిచారు.
",pos,no,no,no
"కాంపౌండ్‌ బాలుర వ్యక్తిగత ఒలంపిక్‌ రౌండ్‌ విభాగంలో ఆర్‌ హరిహారన్‌ అయ్యర్‌ (తమిళనాడు), ఏ స్కంద (తమిళనాడు), బి కొండ రాహుల్‌ (ఆంధ్ర ప్రదేశ్‌), మొదటి మూడు స్థానాల్లో నిలిచారు.
",pos,no,no,no
"బాలికల 10 మీటర్ల విభాగంలోతనిష్క (ఆంధ్ర ప్రదేశ్‌), మినాల్‌ (హర్యానా), వి స్ఫూర్తి (ఆంధ్ర ప్రదేశ్‌) మొదటి మూడు స్థానాల్లో నిలిచారు.
",pos,no,no,no
"ఈ ఏడాదికిగాను అత్యుత్తమ మహిళా క్రికెట్‌ జట్లను ఐసీసీ ఎంపిక చేయగా, అందులో టీ 20 విభాగంలో హర్మన్‌ ప్రీత్‌ కెప్టెన్‌గా నియమించబడ్డారు.
",pos,no,no,no
"టీ 20 ఫార్మాట్‌లో భారత్‌ నుంచి హర్మన్‌తో పాటు స్మ _x005F_x007f_తీ మంధాన, పూనమ్‌ యాదవ్‌లకు చోటు దక్కింది.
",pos,no,no,no
"2018గాను క్రీడాకారిణుల ప్రదర్శనలో భాగంగా మీడియా-బ్రాడ్‌కాస్టర్స్‌ సభ్యులతో కూడిన బృందం విడివిడిగా రెండు అత్యుత్తమ జట్లను ఓటింగ్‌ ద్వారా ఎన్నుకుంది.
",pos,no,no,no
"అబుదాబి: మూడు టెస్టుల సిరీస్‌లో భాగంగా న్యూజిలాండ్‌తో జరిగిన తొలి టెస్టులో పాకిస్థాన్‌కు షాక్‌ తగిలింది.
",neg,no,no,no
"న్యూజిలాండ్‌ నిర్దేశించిన 176 పరుగుల లక్ష్యాన్ని ఛేదించే క్రమంలో పాకిస్థాన్‌ విజయం ముంగిట చతికిలబడింది.
",neg,sad,no,no
"కేవలం నాలుగు పరుగుల తేడాతో పరాజయం చవిచూసింది పాకిస్థాన్‌.
",neg,sad,no,no
"సోమవారం నాల్గోరోజు ఆటలో భాగంగా పాకిస్థాన్‌ తన రెండో ఇన్నింగ్స్‌లో 171 పరుగులకు ఆలౌటైంది.
",neg,sad,no,no
"పాక్‌ ఆటగాళ్లలో అజహర్‌ అలీ(75) కడవరకూ పోరాడినా జట్టును గట్టెక్కించలేకపోయాడు.
",neg,sad,no,no
"అజహర్‌ అలీ ఆఖరి వికెట్‌గా వెనుదిరగడంతో పాకిస్థాన్‌ ఓటమి పాలైంది.
",neg,sad,no,no
"ఫలితంగా పాక్‌ శిబిరంలో నిరాశ అలుముకోగా, కివీస్‌ శిబిరంలో ఆనందం వెల్లివిరిసింది.
",pos,happy,no,no
"సాధారణ లక్ష్యంతో ఇన్నింగ్స్‌ను ఆరంభించిన పాకిస్థాన్‌ 40 పరుగుల వద్ద తొలి వికెట్‌ను కోల్పోయింది.
",neg,sad,no,no
"ఇమాముల్‌ హక్‌(27) తొలి వికెట్‌గా పెవిలి యన్‌ చేరగా, ఆపై నాలుగు పరుగుల వ్యవ ధిలో మహ్మద్‌ హఫీజ్‌(10) కూడా నిష్క్రమించాడు.
",neg,no,no,no
"దాంతో పాకిస్తాన్‌ 48 పరుగులకు మూడు వికెట్లు కోల్పోయి కష్టాల్లో పడింది.
",neg,sad,no,no
"అయితే షఫీక్‌ ఔటైన తర్వాత మళ్లీ పాక్‌ పతనం ప్రారంభమైంది.
",neg,sad,no,no
"అదే సమయంలో అజహర్‌ అలీ ఒంటిరిగా పోరాడుతూ స్కోరు బోర్డును ముందుకు తీసుకెళ్లాడు.
",pos,no,no,no
"చేతిలో వికెట్లు లేకపోవడంతో పరుగులు తీసే అవకాశం ఉన్నా తీయకుండా తనే ఎక్కువ బ్యాటింగ్‌ చేసేందుకు ప్రయత్నించాడు.
",pos,no,no,no
"కాకపోతే అజాజ్‌ పటేల్‌ వేసిన ఓ డెలి వరీకి వికెట్లు ముందు దొరికిపోయాడు అజహర్‌ అలీ.
",neg,no,no,no
"దాంతో పాక్‌ విజయం ముంగిట ఓటమి పాలైనట్లయ్యింది.
",neg,sad,no,no
"దుబారు: ఆసియా కప్‌లో భాగంగా హాంకాంగ్‌తో జరుగుతున్న మ్యాచ్‌లో టీమిండియా అదరగొట్టింది.
",pos,happy,no,no
"పసికూన ముందు 286 పరుగుల లక్ష్యం ఉంచింది.
",pos,no,no,no
"ఇంగ్లండ్‌తో టెస్టు సిరీస్‌లో విఫలమైన ఓపెనర్‌ శిఖర్‌ ధావన్‌ (127, 120 బంతుల్లో 15×4, 2×6) శతకం బాదేశాడు.
",pos,no,no,no
"యోయో పరీక్ష పాసై రెండేళ్ల తర్వాత భారత జట్టులో చోటు దక్కించుకున్న హైదరాబాదీ ఆటగాడు అంబటి రాయుడు (60, 70 బంతుల్లో 3×4, 2×6) అర్ధశతకంతో మెరిశాడు.
",pos,no,no,no
"టాస్‌ ఓడి బ్యాటింగ్‌కు దిగిన టీమిండియాకు శుభారంభం లభించింది.
",pos,happy,no,no
"ఈ క్రమంలో వన్‌డౌన్‌లో బ్యాటింగ్‌కు వచ్చిన అంబటి రాయుడితో కలిసి శిఖర్‌ ధావన్‌ నిలకడగా పరుగులు సాధించాడు.
",pos,no,no,no
"అర్ధశతకం బాదేశాడు.
",pos,no,no,no
"భారీ సిక్సర్లు బాదుతూ అర్ధశతకం అందుకున్నాడు.
",pos,happy,no,no
"ఆ తర్వాత దినేశ్‌ కార్తీక్‌ (33, 38 బంతుల్లో 3×4)తో కలిసి ధావన్‌ మూడో వికెట్‌కు 79 పరుగుల భాగస్వామ్యం అందించాడు.
",pos,no,no,no
"తన బ్యాటింగ్‌కు అనువైన పిచ్‌పై శతకం సాధించాడు.
",pos,no,no,no
"అయితే 40:4వ బంతికి ధావన్‌ను ఔట్‌ చేసి కేడీ షా షాకిచ్చాడు.
",neg,no,no,no
"డెత్‌లో విలవి.
",neg,sad,no,no
"చివరి పది ఓవర్లలో టీ20 తరహాలో బ్యాటింగ్‌ చేస్తుందని భావించిన అభిమానులను భారత్‌ నిరాశపరిచింది.
",neg,sad,no,no
"హాంకాంగ్‌ బౌలర్లు అద్భుతంగా బౌలింగ్‌ చేయడంతో వెంట వెంటనే కీలక వికెట్లను చేజార్చుకుంది.
",pos,happy,no,no
"పరుగులు చేసేందుకు శ్రమించింది.
",pos,no,no,no
"ఎంఎస్‌ ధోనీ అనూహ్యంగా పరుగులేమీ చేయకుండానే జట్టు స్కోరు 243వ వద్ద పెవిలియన్‌ చేరాడు.
",neg,no,no,no
"ప్రస్తుతం టీమిండియాలో మంచి ఆటగాళ్లున్నారన్నారు.
",pos,no,no,no
"ఈ అవకాశాన్ని సద్వినియోగం చేసుకోగలిగితే ఓవర్సీస్‌లో టీమిండియా సులభంగా నెగ్గుకురాగలదని అభిప్రాయ పడ్డారు.
",pos,no,no,no
"‘ మహేంద్రసింగ్‌ ధోనీ గురించి అందరూ ఏం ఆశిస్తున్నారో అర్థం కావడం లేదు.
",neg,no,no,no
"ఆయన 20 లేదా 25 ఏళ్ల కుర్రోడు కాదు కదా! ఆ వయసులో ఉన్నప్పుడు ఆయన జట్టుకి ఎన్ని సేవలు చేశారో, ఎంత బాగా ఆడారో మనమంతా చూశాం.
",pos,no,no,no
"కానీ ఇప్పుడు కూడా అతడి నుంచి అదే స్థాయి ఆటను ఆశించడం తప్పు.
",neg,no,no,no
"అతనికి ఆపారమైన అనుభవం ఉంది.
",pos,no,no,no
"ఆ అనుభవమే టీమిండియాకు సాయపడవచ్చు.
",pos,no,no,no
"టీమిండియాకు దొరికిన అత్యంత విలువైన ఆస్తి ధోనీ.
",pos,no,no,no
"అతడి సమయస్ఫూర్తి అమోఘం.
",pos,no,no,no
"సారథిగా ఉన్నప్పుడు క్లిష్ట సమయాల్లో తెలివైన నిర్ణయాలు తీసుకుని జట్టును విజయాల బాటలో నడిపించారు.
",pos,no,no,no
"ప్రస్తుత సారథి విరాట్‌ కోహ్లి గురించి మాట్లాడుతూ ‘అనుభవం, టాలెంట్‌ కలిస్తే విరాట్‌.
",pos,no,no,no
"అతడో ప్రత్యేకమైన వ్యక్తి.
",pos,no,no,no
"ప్రతిభ, కష్టపడి ఆడే స్వభావం అతడి నైజం.
",pos,no,no,no
"మ్యాచ్‌ ఎలా ఆడారనేది ముఖ్యం’ అని ఆన్నారు.
",pos,no,no,no
"రస్సెల్‌.. మెరుపుల్‌…!.
",pos,happy,no,no
"బెంగళూరు నుంచి విజయాన్ని గుంజుకున్న కోల్‌కత.
",pos,no,no,no
"బెంగళూరు : ఐపీఎల్‌లో భాగంగా రాయల్‌ఛాలెంజర్స్‌ బెంగళూరు, కోల్‌కతా నైట్‌రైడర్స్‌ మధ్య స్థానిక చిన్నస్వామి స్టేడియంలో శుక్రవారం జరిగిన మ్యాచ్‌లో కోల్‌కతా 5 వికెట్ల తేడాతో ఘన విజయం సాధించింది.
",pos,happy,no,no
"ధనాధన్‌ ఇన్నింగ్స్‌ ఆడి కోల్‌కతాను విజయతీరాలకు చేర్చారు.
",pos,happy,no,no
"లిన్‌, ఉతప్ప, రాణా రాణించారు.
",pos,no,no,no
"అంతకుముందు టాస్‌ ఓడిన ఆర్‌సీబీ బ్యాటింగ్‌కు దిగింది.
",neg,no,no,no
"ఇప్పటి వరకూ బోణీ కొట్టలేదనో… ఇప్పటికే పరువుపోయిందనో అనుకున్న జట్టు… మొదటి బంతి నుంచే అటాకింగ్‌ మొదలుపెట్టింది.
",pos,no,no,no
"ఓపెనర్లు విరాట్‌ కోహ్లి, పార్థివ్‌ పటేల్‌ ఇన్నింగ్స్‌ను ధాటిగా ప్రారంభించారు.
",pos,no,no,no
"వీరిద్దరూ కలిసి 64 పరుగులు జోడించిన సమయంలో ఓ అద్భుతమైన బంతికి పార్థివ్‌ (25) ఎల్‌బీడబ్ల్యూ రూపంలో వెనుదిరిగాడు.
",neg,sad,no,no
"ఈలోపు కెప్టెన్‌ కోహ్లి యథేచ్ఛగా షాట్లు కొడుతూ స్కోరు బోర్డును ఉరకలెత్తించాడు.
",pos,no,no,no
"మొదట్లోనే ఏబీడీకి లైఫ్‌ వచ్చింది.
",pos,no,no,no
"ఇక ఆపై గాలికి వాయువు తోడైనట్టు కోహ్లికి జతకలిసిన ఏబీడీ కూడా భారీ షాట్లతో రెచ్చిపోయాడు.
",pos,no,no,no
"ఈ క్రమంలోనే కోహ్లి అర్థసెంచరీ పూర్తి చేసుకున్నాడు.
",pos,no,no,no
"అనంతరం ఏబీడీకి కూడా అర్థసెంచరీ పూర్తయింది.
",pos,no,no,no
"భారీగా షాట్లు కొడుతూ సెంచరీకి చేరవవుతున్న కోహ్లి (84, 48 బంతులు, 9×4, 2×6) కుల్దీప్‌కు రిటన్‌ క్యాచ్‌ ఇచ్చి పెవిలియన్‌ బాట పట్టాడు.
",neg,no,no,no
"దీంతో కేకేఆర్‌ లక్ష్యం 205కు చేరింది.
",pos,no,no,no
"ఎలాగైనా విజయాన్ని దక్కించుకోవాలనుకున్న కోహ్లికి ఈ మ్యాచ్‌లోనూ నిరాశే ఎదురైంది.
",neg,sad,no,no
"ఓపెనర్లు నరైన్‌, లిన్‌లు కలిసి ధాటిగా బ్యాటింగ్‌ చేశారు.
",pos,no,no,no
"నేగీ బౌలింగ్‌లో భారీ షాట్‌కు యత్నించి సోథీకి దొరికిపోయాడు.
",neg,no,no,no
"అనంతరం ఇన్నింగ్స్‌ను చక్కదిద్దే బాధ్యత కెప్టెన్‌ దినేశ్‌ కార్తీక్‌, నితీష్‌ రాణాలు తీసుకున్నారు.
",pos,no,no,no
"దూకుడుగా ఆడుతున్న రాణా (37)ను చాహల్‌ ఔట్‌ చేశాడు.
",neg,sad,no,no
